molecule,smiles,qed,sas,logp,tpsa,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x148ff06c10a0>,CSc1nc2sc3ccccc3c2c(=O)n1-c1ccc2c(c1)OCO2,0.39460530522293524,2.430258401613946,4.051000000000002,53.35000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0816220>,CCNC(=O)Nc1ccc2cnn(Cc3ccc(C)cc3)c(=O)c2c1,0.7690210921654115,2.053144843977293,2.8946200000000015,76.02000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0809b80>,COc1ccc(CCN(C)CCCc2cnc(N(C)C)nc2)cc1,0.7077528856776577,2.241944342451557,2.6583000000000006,41.49,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0791e80>,CC1(c2ccc3cc(F)cc(O)c3c2)Cc2ccc3c(c2C(c2cccc(C(F)(F)F)c2)C1O)C(=O)OC3,0.23689967477846888,4.112043124690707,6.380500000000009,66.76,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff085f8e0>,Cc1nn(-c2ccccc2)c2c1C(=O)N1CCN=C1S2,0.8055092217765983,2.8434868829245943,2.09822,50.49,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0854e80>,COCCCn1c(SCC(=O)Nc2cccc3ccccc23)nnc1C(F)(F)F,0.4332558858283346,2.323000193566253,4.217400000000003,69.03999999999999,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0866040>,Cc1ccc2c(C3=NN(c4ccccc4)C(c4ccccc4)C3)c[nH]c2c1C,0.46437835926395643,2.8224297525426216,6.140440000000005,31.39,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff08ba220>,CC(=O)NC(Cc1ccccc1)C(=O)Nc1cnc(C(O)O)cc1C(O)O,0.3645136626533829,3.0206489911773406,-0.2661000000000002,152.01,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0848a00>,COc1cc(C2NC(=O)N=C(C)C2C(=O)Nc2ccc(OC(=O)N(C)C)cc2)cc(OC)c1OC,0.6173920847046273,3.4170276270165534,3.252900000000002,127.79,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0893ee0>,CC(=O)Nc1cccc(Oc2ccc3c(C=Cc4ccccc4)[nH]nc3c2)c1,0.4891173023141956,2.310607357045402,5.484000000000004,67.00999999999999,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff08a7820>,COc1ccc(N(C)c2ncnc3ccc(-c4cccc(-c5ccncc5)c4)cc23)cc1,0.34332838617273637,2.3143962759474928,6.135300000000005,51.14,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff08f2460>,CN1CCN(c2nc(-c3c[nH]c(=O)n3C)nc(N(C)C)n2)CC1,0.8071806231015679,2.8905279941276802,-0.6167999999999987,86.17999999999999,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff088e9a0>,CCCn1c(=O)c2[nH]c(-c3ccc(S(=O)(=O)NCCCN4CCOCC4)nc3)c(C(C)=O)c2n(CCC)c1=O,0.25057226136969396,3.0869163730413547,1.5765000000000005,148.39000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff09149a0>,COc1ccc2c(c1)CCC1c3cc(O)c(OC)c(OC)c3CCC21C,0.8900364607172561,3.400043534460117,4.351900000000003,47.92,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff091a0a0>,CN(C)CCOc1ccc(C(CCN2CCC(O)(c3ccccc3)CC2)c2cc(Cl)c3c(c2)OCO3)cc1,0.3683529859831584,3.1493067301138744,5.514700000000006,54.400000000000006,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff096f100>,CC(C)CN(S(=O)(=O)c1ccc(Br)s1)S(=O)(=O)c1cc(SC(C)C)ccc1F,0.4398589506846911,2.937285923041042,5.185800000000005,71.52000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0962c40>,COc1ccc(-c2csc(=Nc3nccs3)[nH]2)cc1OC1CCCC1,0.7011845871786755,2.9653948952203013,4.762100000000003,59.5,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff096a0a0>,CCCCC(=O)N1CCC(C(=O)N(CCCN2CCOCC2)c2ccc(Cl)cc2C)CC1,0.5520971326513255,2.436223280857476,4.132520000000004,53.09,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0959460>,COc1cc(-c2ccccn2)ccc1-n1cnc(SCC(=O)NCCc2ccccc2)c1,0.38781666926906005,2.419341284130798,4.393900000000003,69.03999999999999,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff094aac0>,Cc1cc(=O)c2cc3oc(C)c(C)c3c(C)c2o1,0.602270550981042,2.7276433694770024,3.7728800000000033,43.35,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff09af760>,Cc1ccccc1NC(=O)COc1ccc(S(=O)(=O)N2CCOCC2)cc1,0.815865111648739,1.8497687190807781,2.0334200000000004,84.94,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0954f40>,COC1CCC2(C)C3=CC(C=C(C)C)C(=O)C(O)C3(C)CCC2C1(C)C,0.72636844671903,4.821981290687413,4.696400000000005,46.53,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff099e100>,C=C1C(=O)OC2C1CCC1(C)C(OC(=O)CO)=C(C)C(O)CC21,0.5835035968111488,4.712919668045975,1.0745999999999998,93.06,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff099c640>,CC1CN(C2CCN(Cc3ccccc3)CC2)CC1c1cccc(F)c1,0.7978263534199387,2.8944111457961483,4.525600000000004,6.48,0.96,0.999,0.988
